ID,algorithm_name
11727,dynamic_programming_1
11727,dynamic_programming_1
9095,dynamic_programming_1
9095,dynamic_programming_1
1912,dynamic_programming_1
1912,dynamic_programming_1
11053,dynamic_programming_1
11053,dynamic_programming_1
22857,dynamic_programming_1
22857,dynamic_programming_1
11055,dynamic_programming_1
11055,dynamic_programming_1
21317,dynamic_programming_1
21317,dynamic_programming_1
10844,dynamic_programming_1
10844,dynamic_programming_1
1890,dynamic_programming_1
1890,dynamic_programming_1
2156,dynamic_programming_1
2156,dynamic_programming_1
22869,dynamic_programming_1
22869,dynamic_programming_1
11660,dynamic_programming_1
11660,dynamic_programming_1
9465,dynamic_programming_1
9465,dynamic_programming_1
2294,dynamic_programming_1
2294,dynamic_programming_1
15486,dynamic_programming_1
15486,dynamic_programming_1
1106,dynamic_programming_1
1106,dynamic_programming_1
2293,dynamic_programming_1
2293,dynamic_programming_1
2491,dynamic_programming_1
2491,dynamic_programming_1
2670,dynamic_programming_1
2670,dynamic_programming_1
10211,dynamic_programming_1
10211,dynamic_programming_1
15624,dynamic_programming_1
15624,dynamic_programming_1
15489,dynamic_programming_1
15489,dynamic_programming_1
13699,dynamic_programming_1
13699,dynamic_programming_1
1003,dynamic_programming_1
1003,dynamic_programming_1
2193,dynamic_programming_1
2193,dynamic_programming_1
17175,dynamic_programming_1
17175,dynamic_programming_1
9461,dynamic_programming_1
9461,dynamic_programming_1
2876,dynamic_programming_1
2876,dynamic_programming_1
17212,dynamic_programming_1
17212,dynamic_programming_1
14501,dynamic_programming_1
14501,dynamic_programming_1
15988,dynamic_programming_1
15988,dynamic_programming_1
11060,dynamic_programming_1
11060,dynamic_programming_1
10164,dynamic_programming_1
10164,dynamic_programming_1
11051,dynamic_programming_1
11051,dynamic_programming_1
1699,dynamic_programming_1
1699,dynamic_programming_1
18353,dynamic_programming_1
18353,dynamic_programming_1
17291,dynamic_programming_1
17291,dynamic_programming_1
20152,dynamic_programming_1
20152,dynamic_programming_1
4097,dynamic_programming_1
4097,dynamic_programming_1
1965,dynamic_programming_1
1965,dynamic_programming_1
19622,dynamic_programming_1
19622,dynamic_programming_1
11568,dynamic_programming_1
11568,dynamic_programming_1
14430,dynamic_programming_1
14430,dynamic_programming_1
20162,dynamic_programming_1
20162,dynamic_programming_1
11048,dynamic_programming_1
11048,dynamic_programming_1
11722,dynamic_programming_1
11722,dynamic_programming_1
15990,dynamic_programming_1
15990,dynamic_programming_1
22871,dynamic_programming_1
22871,dynamic_programming_1
1495,dynamic_programming_1
1495,dynamic_programming_1
2302,dynamic_programming_1
2302,dynamic_programming_1
1309,dynamic_programming_1
1309,dynamic_programming_1
15991,dynamic_programming_1
15991,dynamic_programming_1
11057,dynamic_programming_1
11057,dynamic_programming_1
16195,dynamic_programming_1
16195,dynamic_programming_1
15992,dynamic_programming_1
15992,dynamic_programming_1
15993,dynamic_programming_1
15993,dynamic_programming_1
1149,dynamic_programming_1
1149,dynamic_programming_1
1932,dynamic_programming_1
1932,dynamic_programming_1
11052,dynamic_programming_1
11052,dynamic_programming_1
